epoch,train_loss,val_loss,train_acc,val_acc,lr
1,1.6456159506225585,1.4187942142486571,37.95,48.36,0.1
2,1.2527531349182128,1.2585282957077026,54.304,55.12,0.1
3,1.0748192694854737,1.0701618458747864,61.416,62.65,0.1
4,0.9529848313522339,0.9118287279129028,66.032,68.18,0.1
5,0.8825346400260925,1.210044632911682,68.986,60.05,0.1
6,0.8217616918563843,0.8487219034194946,70.978,70.93,0.1
7,0.775958719997406,0.8306611340522766,72.89,71.54,0.1
8,0.7346698991775513,0.7822568992614746,74.302,72.7,0.1
9,0.7021723734664918,0.7743082258224487,75.318,74.26,0.1
10,0.6834286323547363,0.7806901775360108,76.156,73.06,0.1
11,0.660134282913208,0.7049285284996033,76.86,75.91,0.1
12,0.6402999127960205,0.7122431982040405,77.552,75.89,0.1
13,0.6262624099731445,0.6906211745262146,78.11,76.38,0.1
14,0.6101910650634765,0.6343669537544251,78.624,78.49,0.1
15,0.6005354476261139,0.6545766265869141,78.918,77.73,0.1
16,0.5838367270660401,0.6085915046691894,79.556,79.45,0.1
17,0.5732591900634766,0.7056773572921753,80.016,76.39,0.1
18,0.5647160375404358,0.6046385568141938,80.34,79.68,0.1
19,0.5590872765541076,0.7019389148712158,80.542,76.51,0.1
20,0.5450623810005188,0.6561712269306182,80.872,78.15,0.1
21,0.5391130200958252,0.6733882806777954,81.192,77.74,0.1
22,0.5329159341526032,0.6194180892944336,81.344,79.21,0.1
23,0.5271244520950318,0.5999087915420532,81.514,79.71,0.1
24,0.517583736820221,0.5944351879119874,81.718,80.05,0.1
25,0.5162066960334778,0.5887399930477142,81.924,80.17,0.1
26,0.506602612361908,0.648558768081665,82.008,78.59,0.1
27,0.501383721446991,0.5937311102867127,82.458,79.82,0.1
28,0.4972728609275818,0.6251487044334412,82.434,78.87,0.1
29,0.49331601875305175,0.5541664331436157,82.75,80.96,0.1
30,0.4897604097175598,0.571861767578125,83.02,80.99,0.1
31,0.389773333940506,0.43337418394088745,86.566,85.33,0.010000000000000002
32,0.35565343824386597,0.42834526748657226,87.62,85.66,0.010000000000000002
33,0.34294629804611204,0.42533158860206605,88.084,85.6,0.010000000000000002
34,0.33679218605995176,0.41918354287147525,88.198,86.01,0.010000000000000002
35,0.3324161298370361,0.4182347160816193,88.406,85.96,0.010000000000000002
36,0.32274721455574035,0.41609977073669435,88.82,86.24,0.010000000000000002
37,0.32083880469322207,0.4163682827949524,88.784,86.25,0.010000000000000002
38,0.31769665338516234,0.41846670408248904,88.896,86.45,0.010000000000000002
39,0.31376992404460907,0.4191677076816559,88.992,86.27,0.010000000000000002
40,0.3107676083946228,0.41224101786613465,89.098,86.35,0.010000000000000002
41,0.29452118105888364,0.4077913778305054,89.62,86.56,0.0010000000000000002
42,0.2901121179771423,0.40557777853012084,89.788,86.6,0.0010000000000000002
43,0.2886265569972992,0.40715969443321226,89.826,86.43,0.0010000000000000002
44,0.28894537336349485,0.40519092445373533,89.972,86.71,0.0010000000000000002
45,0.2862798684692383,0.4030909104347229,90.092,86.81,0.0010000000000000002
46,0.2857776515197754,0.4035580581665039,90.0,86.74,0.0010000000000000002
47,0.2854564172935486,0.40279290285110475,89.884,86.7,0.0010000000000000002
48,0.28661227979660037,0.4039002498149872,89.858,86.73,0.0010000000000000002
49,0.2838786852836609,0.4004480163574219,89.944,86.73,0.0010000000000000002
50,0.28128491032123565,0.40241527338027955,90.148,86.65,0.0010000000000000002
